source_path,target_url,status_code,match_type,is_active,priority,source_type,source_ref,created_at,updated_at
/blog/propagation-test-2026-03-07t20-52-21-374z,/blog/propagation-test-2026-03-07t20-52-21-374z-renamed,301,exact,true,250,blog_slug,63ac4d87-ecf0-43ca-81a7-09757cb64842,2026-03-07T20:53:40.562785+00:00,2026-03-07T20:53:40.562785+00:00
/blog/slug-redirect-check-2026-03-07t21-06-28-972z,/blog/slug-redirect-check-2026-03-07t21-06-28-972z-new,301,exact,true,250,blog_slug,b8541bf0-88a7-4596-bcaf-1da3229c2d7f,2026-03-07T21:06:36.995701+00:00,2026-03-07T21:06:36.995701+00:00
/23,/episodes/amanda-knox-and-the-murder-of-meredith-kercher-part-ii,301,exact,true,100,manual,,2026-03-05T08:16:22.670656+00:00,2026-03-07T22:35:51.826853+00:00
/35,/episodes/gunther-s-millions-the-unbelievable-story-and-scam-behind-the-world-s-richest-dog,301,exact,true,100,manual,,2026-03-05T08:01:14.088998+00:00,2026-03-07T22:35:51.826853+00:00
/36,/episodes/jt-leroy-gender-deception-and-the-ultimate-hoax,301,exact,true,100,manual,,2026-03-05T08:13:01.102949+00:00,2026-03-07T22:35:51.826853+00:00
/44,/episodes/lindy-chamberlain-the-dingo-the-baby-and-a-nation-s-shock,301,exact,true,100,manual,,2026-03-05T21:01:41.898097+00:00,2026-03-07T22:41:38.980931+00:00
/about,/,301,exact,true,100,manual,,2026-03-05T08:14:36.566119+00:00,2026-03-05T21:01:41.898097+00:00
/amanda-knox-and-the-murder-of-meredith-kercher-part-ii,/episodes/amanda-knox-and-the-murder-of-meredith-kercher-part-ii,301,exact,true,100,manual,,2026-03-05T07:27:58.827252+00:00,2026-03-07T22:35:51.826853+00:00
/amelia-earhart-flying-into-the-unknown,/episodes/amelia-earhart-flying-into-the-unknown,301,exact,true,100,manual,,2026-03-05T07:43:20.116618+00:00,2026-03-07T22:35:51.826853+00:00
/anna-delvey-from-rags-to-riches-to-rikers-new-yorks-fake-heiress,/episodes/anna-delvey-from-rags-to-riches-to-rikers-new-yorks-fake-heiress,301,exact,true,100,manual,,2026-03-18T00:37:22.390617+00:00,2026-03-18T00:37:22.390617+00:00
/contact,/connect,301,exact,true,100,manual,,2026-03-06T01:24:34.046211+00:00,2026-03-06T01:24:34.046211+00:00
/dirty-pops-lou-pearlman-boy-bands-and-big-scams,/episodes/lou-pearlman-boy-bands-big-lies-and-bigger-scams,301,exact,true,100,manual,,2026-03-18T00:35:29.057977+00:00,2026-03-18T00:35:29.057977+00:00
/episode/nutty-putty-cave-the-john-edward-jones-story-that-haunts-cavers-to-this-day,/episodes/nutty-putty-cave-the-john-edward-jones-story-that-haunts-cavers-to-this-day,301,exact,true,100,manual,,2026-03-05T07:46:26.47304+00:00,2026-03-07T22:35:51.826853+00:00
/episodes/dirty-pops-lou-pearlman-boy-bands-and-big-scams,/episodes/lou-pearlman-boy-bands-big-lies-and-bigger-scams,301,exact,true,100,manual,,2026-03-18T00:41:49.295915+00:00,2026-03-18T00:41:49.295915+00:00
/episodes/oceangate-titan-disaster-a-billionaires-dive-into-hubris-history-and-horror,/episodes/oceangate-titan-disaster-a-billionaire-s-dive-into-hubris-history-and-horror,301,exact,true,100,manual,,2026-03-18T00:38:38.018529+00:00,2026-03-18T00:38:38.018529+00:00
/episodes/patty-hearst-from-kidnapped-heiress-to-americas-most-wanted-fugitive,/episodes/patty-hearst-from-kidnapped-heiress-to-america-s-most-wanted-fugitive,301,exact,true,100,manual,,2026-03-18T00:18:19.801987+00:00,2026-03-18T00:18:19.801987+00:00
/episodes/the-acali-experiment-science-sex-and-santiago-genovess-bizarre-human-behaviour-study,/episodes/the-acali-experiment-science-sex-and-santiago-genoves-s-bizarre-human-behaviour-study,301,exact,true,100,manual,,2026-03-18T00:45:10.212118+00:00,2026-03-18T00:45:10.212118+00:00
/episodes/the-curse-of-the-cecil-americas-most-dangerous-hotel,/episodes/the-curse-of-the-cecil-america-s-most-dangerous-hotel,301,exact,true,100,manual,,2026-03-18T00:21:04.07459+00:00,2026-03-18T00:22:10.493909+00:00
/home2,/,301,exact,true,100,manual,,2026-03-05T08:10:10.863743+00:00,2026-03-05T21:01:41.898097+00:00
/kyle-risi,/author/kyle-risi,301,exact,true,100,manual,,2026-03-13T08:08:15.534405+00:00,2026-03-13T08:08:15.534405+00:00
/podcast/the-compendium-of-fascinating-things,/,301,exact,true,100,manual,,2026-03-05T23:51:00.86315+00:00,2026-03-05T23:51:00.86315+00:00
/podcast/the-compendium-of-fascinating-things-patreon,/,301,exact,true,100,manual,,2026-03-05T23:52:55.984895+00:00,2026-03-05T23:52:55.984895+00:00
/podcast/the-compendium-of-fascinating-things-patreon/episode/preview-dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,/episodes/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,301,exact,true,100,manual,,2026-03-18T00:40:12.56729+00:00,2026-03-18T00:40:12.56729+00:00
/podcast/the-compendium-of-fascinating-things-patreon/episode/preview-monster-of-florence-the-real-life-horror-behind-an-italian-legend,/episodes/monster-of-florence-the-real-life-horror-behind-an-italian-legend,301,exact,true,100,manual,,2026-03-18T00:47:24.969812+00:00,2026-03-18T00:47:24.969812+00:00
/podcast/the-compendium-of-fascinating-things-patreon/episode/preview-the-acali-experiment-science-sex-and-santiago-genovess-bizarre-human-behaviour-study,/episodes/the-acali-experiment-science-sex-and-santiago-genoves-s-bizarre-human-behaviour-study,301,exact,true,100,manual,,2026-03-18T00:43:18.92299+00:00,2026-03-18T00:43:18.92299+00:00
/podcast/the-compendium-of-fascinating-things-patreon/episode/preview-the-mushroom-murderer-erin-pattersons-deadly-family-lunch-and-the-trial-that-shocked-the-world,/episodes/the-mushroom-murderer-erin-patterson-s-deadly-family-lunch-and-the-trial-that-shocked-the-world,301,exact,true,100,manual,,2026-03-18T00:46:19.29225+00:00,2026-03-18T00:46:19.29225+00:00
/podcast/the-compendium-of-fascinating-things-patreon/episode/reeva-steenkamp-the-night-oscar-pistorius-pulled-the-trigger,/episodes/reeva-steenkamp-the-night-oscar-pistorius-pulled-the-trigger,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things-patreon/episode/space-cadets-how-a-british-reality-show-convinced-contestants-they-were-in-space,/episodes/space-cadets-how-a-british-reality-show-convinced-contestants-they-were-in-space,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/a-christmas-catastrophe-the-santa-claus-bank-robbery-blunder,/episodes/the-santa-claus-bank-robbery-blunder,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/a-deadly-american-marriage-piecing-together-jason-corbetts-final-weeks,/episodes/a-deadly-american-marriage-piecing-together-jason-corbett-s-final-weeks,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/aileen-wuornos-queen-of-the-serial-killers,/episodes/aileen-wuornos-queen-of-the-serial-killers,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/amanda-knox-and-the-murder-of-meredith-kercher-part-i,/episodes/amanda-knox-and-the-murder-of-meredith-kercher-part-i,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/amanda-knox-and-the-murder-of-meredith-kercher-part-ii,/episodes/amanda-knox-and-the-murder-of-meredith-kercher-part-ii,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/amelia-earhart-flying-into-the-unknown,/episodes/amelia-earhart-flying-into-the-unknown,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/anish-kapoor-vs-stuart-semple-the-art-worlds-pettiest-feud,/episodes/anish-kapoor-vs-stuart-semple-the-art-world-s-pettiest-feud,301,exact,true,100,manual,,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
